repo,tests_pass,coverage,open_dependabot_prs,low,medium,high,critical
kbase/auth,True,0,0,N/A,N/A,N/A,N/A
kbase/workspace_deluxe,True,87.78,7,1,17,9,3
kbase/jars,True,0,0,N/A,N/A,N/A,N/A
kbase/kbapi_common,True,0,0,N/A,N/A,N/A,N/A
kbase/java_common,True,39.34,1,N/A,N/A,N/A,N/A
kbase/narrative,False,25.9,21,5,14,11,0
kbase/shock_java_client,True,65.53,0,N/A,N/A,N/A,N/A
kbase/metrics,True,0,2,N/A,N/A,N/A,N/A
kbase/narrative_method_store,True,70.08,0,N/A,N/A,N/A,N/A
kbase/narrative_method_specs,True,0,2,N/A,N/A,N/A,N/A
kbase/user_profile,True,58.44,0,N/A,N/A,N/A,N/A
kbase/project_guides,True,0,0,N/A,N/A,N/A,N/A
kbase/kb_sdk,False,0,3,0,3,0,0
kbase/narrative_method_specs_ci,True,0,1,0,0,0,1
kbase/kbase-ui-plugin-typeview,True,0,3,0,10,17,3
kbase/catalog,True,80.14,7,0,2,0,0
kbase/kbase-service-clients-js,True,0,11,1,9,14,3
kbase/kbase-ui,False,N/A,7,1,14,15,0
kbase/kbase-common-js,True,0,0,4,12,11,3
kbase/kbase-ui-plugin-dataview,True,0,3,1,7,18,4
kbase/kbase-cdn-js,True,0,6,0,7,10,4
kbase/NarrativeViewers,True,0,1,N/A,N/A,N/A,N/A
kbase/taxon_api,True,0,0,N/A,N/A,N/A,N/A
kbase/genome_annotation_api,True,70.02,0,N/A,N/A,N/A,N/A
kbase/assembly_api,True,0,0,N/A,N/A,N/A,N/A
kbase/service_wizard,True,0,1,0,3,0,0
kbase/auth2,False,93.37,3,N/A,N/A,N/A,N/A
kbase/KBaseDeveloperBootstrap,True,0,0,N/A,N/A,N/A,N/A
kbase/kbase-common-ts,True,0,13,12,8,8,2
kbase/check_mk,True,0,0,N/A,N/A,N/A,N/A
kbase/kb_minideb,True,0,0,N/A,N/A,N/A,N/A
kbase/kbase-ui-plugin-jgi-search,True,0,3,1,9,17,3
kbase/kb_jre,True,0,1,N/A,N/A,N/A,N/A
kbase/kb_perl,True,0,0,N/A,N/A,N/A,N/A
kbase/kbase-ui-plugin-feeds,True,0,5,0,10,18,2
kbase/staging_service,False,0,8,2,22,6,0
kbase/dockerize,True,0,0,N/A,N/A,N/A,N/A
kbase/db_initialize,True,0,0,N/A,N/A,N/A,N/A
kbase/nginx,True,0,0,N/A,N/A,N/A,N/A
kbase/kbase-ui-plugin-catalog,True,0,2,0,8,19,3
kbase/kbase-ui-plugin-data-search,True,0,2,0,5,13,1
kbase/sdkbase2,True,0,0,N/A,N/A,N/A,N/A
kbase/condor,True,0,1,N/A,N/A,N/A,N/A
kbase/kb_python,True,0,0,N/A,N/A,N/A,N/A
kbase/kb_sdk_docs,True,0,9,0,16,8,3
kbase/kbase.github.io,True,0,0,N/A,N/A,N/A,N/A
kbase/kbase-common-es6,True,0,7,2,4,16,8
kbase/file_cache_server,True,0,4,0,4,4,2
kbase/kbase-ui-plugin-public-search,True,0,1,0,9,17,4
kbase/status,True,0,0,N/A,N/A,N/A,N/A
kbase/relation_engine_importers,False,49.61,6,1,10,8,0
kbase/groups,True,94.11,2,6,6,14,4
kbase/condor-worker,False,0,3,N/A,N/A,N/A,N/A
kbase/feeds,True,90.69,13,10,8,11,1
kbase/kbase-ui-plugin-organizations,True,0,2,0,13,15,2
kbase/KbaseAppCatalogStatic,True,0,2,1,8,4,1
kbase/kbase-ui-plugin-biochem-search,True,0,22,10,6,12,2
kbase/handle_service2,True,84.13,3,1,3,0,0
kbase/index_runner,False,0,8,1,4,5,1
kbase/search_api2,False,100.0,5,0,5,6,1
kbase/blobstore,True,90.83,10,1,13,15,1
kbase/JobRunner,True,91.03,12,0,11,4,0
kbase/kbase-ui-plugin-job-browser2,True,0,4,4,11,15,0
kbase/kbase-ui-plugin-react-profile-view,True,0,6,11,4,14,1
kbase/execution_engine2,True,88.68,7,2,24,4,0
kbase/taxonomy_re_api,False,0,3,0,2,2,2
kbase/narrative-traefiker,False,0,2,N/A,N/A,N/A,N/A
kbase/ui-assets,True,0,0,N/A,N/A,N/A,N/A
kbase/ErrorLogging,False,0,1,N/A,N/A,N/A,N/A
kbase/sample_service,False,0,12,1,13,9,1
kbase/kbasedevopschallenge,True,0,0,N/A,N/A,N/A,N/A
kbase/sample_service_validator_config,False,0,4,N/A,N/A,N/A,N/A
kbase/kbase-ui-plugin-samples,True,0,12,9,5,14,2
kbase/navigator,True,0,17,0,14,12,4
kbase/systemmetrics,False,0,1,N/A,N/A,N/A,N/A
kbase/kbase-ui-plugin-taxonomy,True,0,1,0,3,9,0
kbase/kbase-ui-plugin-ontology,True,0,2,0,4,20,6
kbase/exascale_data,True,0,1,N/A,N/A,N/A,N/A
kbase/relation_engine,False,0,7,0,7,2,1
kbase/shocktos3scripts,True,0,1,N/A,N/A,N/A,N/A
kbase/init-sidecar,True,0,1,N/A,N/A,N/A,N/A
kbase/db_zip2cloud,True,0,1,N/A,N/A,N/A,N/A
kbase/ui,True,0,5,9,7,13,1
kbase/elasticsearch7,False,0,1,N/A,N/A,N/A,N/A
kbase/reference_data_updater,True,0,0,N/A,N/A,N/A,N/A
kbase/static-content,True,0,0,N/A,N/A,N/A,N/A
kbase/sample_search_api,False,0,1,N/A,N/A,N/A,N/A
kbase/train_rdp_clsf,True,0,0,N/A,N/A,N/A,N/A
kbase/sdkpython,True,0,1,0,2,0,0
kbase/.github,True,0,1,N/A,N/A,N/A,N/A
kbase/kbase-template,True,0,0,N/A,N/A,N/A,N/A
kbase/credit_engine,False,97.23,16,0,14,8,1
kbase/zookeeper-docker,False,0,2,N/A,N/A,N/A,N/A
kbase/narrative-base-image,False,0,1,4,13,11,2
kbase/collections,True,46.08,15,0,20,6,2
kbase/kbase-service-orcidlink,False,0,0,1,4,2,0
kbase/spec_review,True,0,0,N/A,N/A,N/A,N/A
kbase/dts,True,57.63,1,0,3,6,0
kbase/service_wizard2,False,100.0,3,2,8,4,0
kbase/static-content-proxy,True,0,0,N/A,N/A,N/A,N/A
kbase/static-ui,True,0,2,9,7,13,1
kbase/mongo-dump,True,0,0,N/A,N/A,N/A,N/A
kbase/auth2_client_java,True,92.38,1,N/A,N/A,N/A,N/A
kbase/java_test_utilities,False,0.0,1,N/A,N/A,N/A,N/A
kbase/java_kidl,True,0,1,N/A,N/A,N/A,N/A
kbase/cdm-prototype-spark,True,0,3,N/A,N/A,N/A,N/A
kbase/cdm-jupyterhub,True,39.5,1,2,8,3,0
kbase/dtspy,True,0,1,1,3,0,0
kbase/cdm-prototype-starrocks,True,0,0,N/A,N/A,N/A,N/A
kbase/cdm-prototype-hive,True,0,1,N/A,N/A,N/A,N/A
kbase/kb_sdk_patch,True,0,0,N/A,N/A,N/A,N/A
kbase/cdm-prototype-yarn,True,0,1,N/A,N/A,N/A,N/A
kbase/cdm-task-service,True,50.27,1,1,6,1,0
kbase/cdm-spark-standalone,True,0,4,N/A,N/A,N/A,N/A
kbase/gha-tests,True,0,0,N/A,N/A,N/A,N/A
kbase/policies,True,0,0,N/A,N/A,N/A,N/A
kbase/kb_sdk_plus,True,45.19,4,N/A,N/A,N/A,N/A
kbase/cdm-schema,True,0,0,0,2,0,0
kbase/cdm-data-loader-utils,True,90.13,1,N/A,N/A,N/A,N/A
kbase/trivy_image,True,0,0,N/A,N/A,N/A,N/A
