repo,tests_pass,coverage,open_dependabot_prs,low,medium,high,critical
kbase/workspace_deluxe,True,87.78,7,1,17,9,3
kbase/narrative,False,25.9,21,5,14,11,0
kbase/narrative_method_store,True,70.08,0,N/A,N/A,N/A,N/A
kbase/user_profile,True,58.44,0,N/A,N/A,N/A,N/A
kbase/kb_sdk,False,0,3,0,3,0,0
kbase/catalog,True,80.14,7,0,2,0,0
kbase/service_wizard,True,0,1,0,3,0,0
kbase/auth2,False,93.37,3,N/A,N/A,N/A,N/A
kbase/staging_service,False,0,8,2,22,6,0
kbase/file_cache_server,True,0,4,0,4,4,2
kbase/groups,True,94.11,2,6,6,14,4
kbase/feeds,True,90.69,13,10,8,11,1
kbase/handle_service2,True,84.13,3,1,3,0,0
kbase/search_api2,False,100.0,5,0,5,6,1
kbase/blobstore,True,90.83,10,1,13,15,1
kbase/execution_engine2,True,88.68,7,2,24,4,0
kbase/narrative-traefiker,False,0,2,N/A,N/A,N/A,N/A
kbase/sample_service,False,0,12,1,13,9,1
kbase/relation_engine,False,0,7,0,7,2,1
kbase/collections,True,46.08,15,0,20,6,2
